fm,non_fm,themes
compassion,trauma,emotions *
strive,failure,science/academic *
happy / happiness,fear,service/spec interest
joy,difficult,social/community
play,suffer,lab/research
give,stress,career/aspirations
encourage,muscle,no
felt / feel,pharma/pharmaci,no
breast,cardiac,no
chart,robot,no
math,instrument,no
diagnosis,interpret,no
pediatric,nutrition,no
symptom,tumor,no
curriculum,cpr,no
rehabilitation,rigor,no
EMT,transplant,no
database,spinal,no
sick,anatomy,no
income,surgery,no
disabl / disability,tissue,no
underserved,device,no
outreach,mice/mouse,no
urban,article,no
specialist,protocol,no
profit,sequence,no
afford,assay,no
disparity,instrument,no
inner,experiment,no
community/ies,neuroscience,no
child/ren,interpret,no
club,abstract,no
group,aspire,no
member,intellectual,no
participate,discipline,no
people,cure,no
no,career,no
no,success,no
no,goal,no
no,reward/ing,no